term,Mnl1_coef,Mnl2_coef
q2^3,0.0,217989408770.7002
q1 q2^2,-48277315616.47107,-129321532835.2514
q1^2 q2,15020328925.070154,0.0
q1^3,-3689109066.121046,0.0
q1 q2,392820944.1494186,0.0
q1^2,-229446269.50830078,0.0
q2^2,-109438501.2961552,0.0
q2,0.0,-2001545.08328412
q2 qd1 qd2,-411505.50146294857,0.0
q2 qd2^2,-137890.60887452067,0.0
q1 qd1 qd2,60044.51056461794,0.0
q1,3427.5215915968774,56180.30374475548
q2 qd1^2,38108.44193612569,0.0
q1 qd1,-36500.195338300065,0.0
q1 qd2^2,21160.87431596761,0.0
qd1 qd2,2273.443113777214,0.0
qd1^2,-1619.5822286720847,0.0
qd2^2,170.73037504121234,0.0
